group,insertion,test_number,n_before,n_after,n_removed,mad_multiplier
TXPA LUT12 @ 76GHz tests 55147-55154,S1,55153,12243,12231,12,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S1,55154,12243,12152,91,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S2,55147,12028,12006,22,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S2,55148,12028,12009,19,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S2,55149,12028,12010,18,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S2,55150,12028,12009,19,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S2,55151,12028,12011,17,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S2,55152,12028,12019,9,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S2,55153,12028,12015,13,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S2,55154,12028,12009,19,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S3,55147,11785,11780,5,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S3,55148,11785,11778,7,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S3,55149,11785,11782,3,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S3,55150,11785,11780,5,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S3,55151,11785,11778,7,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S3,55152,11785,11781,4,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S3,55153,11785,11775,10,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,S3,55154,11785,11772,13,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S1,54147,12243,12242,1,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S1,54151,12243,12242,1,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S1,54152,12243,12242,1,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S1,54154,12243,12234,9,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S2,54147,12028,12005,23,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S2,54148,12028,12005,23,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S2,54149,12028,12007,21,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S2,54150,12028,12005,23,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S2,54151,12028,12009,19,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S2,54152,12028,12011,17,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S2,54153,12028,12013,15,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S2,54154,12028,12005,23,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S3,54147,11785,11778,7,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S3,54148,11785,11775,10,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S3,54149,11785,11779,6,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S3,54150,11785,11778,7,5.0
