group,insertion,test_number,n_before,n_after,n_removed,mad_multiplier
TXPA LUT48 @ 77GHz tests 54171-54178,S3,54178,11785,11717,68,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S1,53203,12243,11590,653,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S1,53204,12243,11509,734,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S1,53205,12243,11541,702,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S1,53206,12243,11453,790,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S1,53207,12243,11371,872,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S1,53208,12243,11486,757,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S1,53209,12243,11424,819,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S1,53210,12243,11415,828,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S2,53203,12028,11993,35,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S2,53204,12028,11990,38,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S2,53205,12028,11996,32,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S2,53206,12028,11986,42,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S2,53207,12028,11995,33,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S2,53208,12028,11981,47,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S2,53209,12028,11987,41,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S2,53210,12028,11986,42,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S3,53203,11785,11705,80,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S3,53204,11785,11696,89,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S3,53205,11785,11699,86,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S3,53206,11785,11694,91,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S3,53207,11785,11668,117,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S3,53208,11785,11676,109,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S3,53209,11785,11679,106,5.0
TXPA LUT48 @ 81GHz tests 53203-53210,S3,53210,11785,11668,117,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S1,55179,12243,11898,345,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S1,55180,12243,11887,356,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S1,55181,12243,11898,345,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S1,55182,12243,11878,365,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S1,55183,12243,11841,402,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S1,55184,12243,11879,364,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S1,55185,12243,11837,406,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S1,55186,12243,11817,426,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S2,55179,12028,11979,49,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S2,55180,12028,11999,29,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S2,55181,12028,12000,28,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S2,55182,12028,11990,38,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S2,55183,12028,11992,36,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S2,55184,12028,11987,41,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S2,55185,12028,11988,40,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S2,55186,12028,11987,41,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S3,55179,11785,11715,70,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S3,55180,11785,11718,67,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S3,55181,11785,11713,72,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S3,55182,11785,11727,58,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S3,55183,11785,11715,70,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S3,55184,11785,11710,75,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S3,55185,11785,11713,72,5.0
TXPA LUT69 @ 76GHz tests 55179-55186,S3,55186,11785,11714,71,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S1,54179,12243,11850,393,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S1,54180,12243,11853,390,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S1,54181,12243,11834,409,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S1,54182,12243,11792,451,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S1,54183,12243,11752,491,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S1,54184,12243,11786,457,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S1,54185,12243,11747,496,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S1,54186,12243,11732,511,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S2,54179,12028,11984,44,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S2,54180,12028,11994,34,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S2,54181,12028,11999,29,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S2,54182,12028,11992,36,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S2,54183,12028,11992,36,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S2,54184,12028,11989,39,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S2,54185,12028,11991,37,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S2,54186,12028,11991,37,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S3,54179,11785,11713,72,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S3,54180,11785,11719,66,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S3,54181,11785,11713,72,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S3,54182,11785,11722,63,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S3,54183,11785,11713,72,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S3,54184,11785,11711,74,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S3,54185,11785,11711,74,5.0
TXPA LUT69 @ 77GHz tests 54179-54186,S3,54186,11785,11715,70,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S1,53211,12243,11380,863,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S1,53212,12243,11319,924,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S1,53213,12243,11318,925,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S1,53214,12243,11240,1003,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S1,53215,12243,11182,1061,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S1,53216,12243,11270,973,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S1,53217,12243,11188,1055,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S1,53218,12243,11185,1058,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S2,53211,12028,11997,31,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S2,53212,12028,11999,29,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S2,53213,12028,11999,29,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S2,53214,12028,11994,34,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S2,53215,12028,11993,35,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S2,53216,12028,11980,48,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S2,53217,12028,11986,42,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S2,53218,12028,11985,43,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S3,53211,11785,11691,94,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S3,53212,11785,11679,106,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S3,53213,11785,11683,102,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S3,53214,11785,11684,101,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S3,53215,11785,11662,123,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S3,53216,11785,11665,120,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S3,53217,11785,11671,114,5.0
TXPA LUT69 @ 81GHz tests 53211-53218,S3,53218,11785,11664,121,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S1,55187,12243,11834,409,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S1,55188,12243,11848,395,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S1,55189,12243,11814,429,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S1,55190,12243,11811,432,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S1,55191,12243,11752,491,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S1,55192,12243,11816,427,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S1,55193,12243,11764,479,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S1,55194,12243,11747,496,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S2,55187,12028,11981,47,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S2,55188,12028,11998,30,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S2,55189,12028,12000,28,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S2,55190,12028,11992,36,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S2,55191,12028,11989,39,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S2,55192,12028,11988,40,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S2,55193,12028,11990,38,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S2,55194,12028,11987,41,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S3,55187,11785,11713,72,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S3,55188,11785,11719,66,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S3,55189,11785,11713,72,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S3,55190,11785,11725,60,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S3,55191,11785,11712,73,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S3,55192,11785,11713,72,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S3,55193,11785,11714,71,5.0
TXPA LUT86 @ 76GHz tests 55187-55194,S3,55194,11785,11712,73,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S1,54187,12243,11778,465,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S1,54188,12243,11783,460,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S1,54189,12243,11740,503,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S1,54190,12243,11721,522,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S1,54191,12243,11657,586,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S1,54192,12243,11715,528,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S1,54193,12243,11663,580,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S1,54194,12243,11641,602,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S2,54187,12028,11984,44,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S2,54188,12028,11994,34,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S2,54189,12028,12002,26,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S2,54190,12028,11995,33,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S2,54191,12028,11993,35,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S2,54192,12028,11990,38,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S2,54193,12028,11990,38,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S2,54194,12028,11990,38,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S3,54187,11785,11713,72,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S3,54188,11785,11713,72,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S3,54189,11785,11709,76,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S3,54190,11785,11723,62,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S3,54191,11785,11711,74,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S3,54192,11785,11709,76,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S3,54193,11785,11711,74,5.0
TXPA LUT86 @ 77GHz tests 54187-54194,S3,54194,11785,11710,75,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S1,53219,12243,11122,1121,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S1,53220,12243,11078,1165,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S1,53221,12243,11090,1153,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S1,53222,12243,11053,1190,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S1,53223,12243,10972,1271,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S1,53224,12243,11053,1190,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S1,53225,12243,10971,1272,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S1,53226,12243,10941,1302,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S2,53219,12028,12001,27,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S2,53220,12028,11996,32,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S2,53221,12028,12000,28,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S2,53222,12028,11992,36,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S2,53223,12028,11990,38,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S2,53224,12028,11988,40,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S2,53225,12028,11993,35,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S2,53226,12028,11984,44,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S3,53219,11785,11684,101,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S3,53220,11785,11666,119,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S3,53221,11785,11678,107,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S3,53222,11785,11672,113,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S3,53223,11785,11639,146,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S3,53224,11785,11657,128,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S3,53225,11785,11657,128,5.0
TXPA LUT86 @ 81GHz tests 53219-53226,S3,53226,11785,11641,144,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S1,55195,12243,11677,566,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S1,55196,12243,11667,576,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S1,55197,12243,11662,581,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S1,55198,12243,11675,568,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S1,55199,12243,11619,624,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S1,55200,12243,11669,574,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S1,55201,12243,11590,653,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S1,55202,12243,11578,665,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S2,55195,12028,11983,45,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S2,55196,12028,11993,35,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S2,55197,12028,11997,31,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S2,55198,12028,11994,34,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S2,55199,12028,11990,38,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S2,55200,12028,11990,38,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S2,55201,12028,11986,42,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S2,55202,12028,11988,40,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S3,55195,11785,11702,83,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S3,55196,11785,11704,81,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S3,55197,11785,11701,84,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S3,55198,11785,11716,69,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S3,55199,11785,11700,85,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S3,55200,11785,11704,81,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S3,55201,11785,11703,82,5.0
TXPA LUT114 @ 76GHz tests 55195-55202,S3,55202,11785,11702,83,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S1,54195,12243,11556,687,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S1,54196,12243,11563,680,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S1,54197,12243,11525,718,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S1,54198,12243,11555,688,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S1,54199,12243,11452,791,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S1,54200,12243,11531,712,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S1,54201,12243,11433,810,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S1,54202,12243,11438,805,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S2,54195,12028,11986,42,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S2,54196,12028,11994,34,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S2,54197,12028,12000,28,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S2,54198,12028,11993,35,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S2,54199,12028,11990,38,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S2,54200,12028,11989,39,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S2,54201,12028,11987,41,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S2,54202,12028,11988,40,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S3,54195,11785,11698,87,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S3,54196,11785,11699,86,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S3,54197,11785,11701,84,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S3,54198,11785,11708,77,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S3,54199,11785,11691,94,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S3,54200,11785,11699,86,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S3,54201,11785,11693,92,5.0
TXPA LUT114 @ 77GHz tests 54195-54202,S3,54202,11785,11694,91,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S1,53227,12243,10732,1511,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S1,53228,12243,10772,1471,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S1,53229,12243,10731,1512,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S1,53230,12243,10758,1485,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S1,53231,12243,10672,1571,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S1,53232,12243,10771,1472,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S1,53233,12243,10685,1558,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S1,53234,12243,10657,1586,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S2,53227,12028,11991,37,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S2,53228,12028,11982,46,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S2,53229,12028,11988,40,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S2,53230,12028,11989,39,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S2,53231,12028,11982,46,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S2,53232,12028,11977,51,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S2,53233,12028,11981,47,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S2,53234,12028,11969,59,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S3,53227,11785,11646,139,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S3,53228,11785,11602,183,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S3,53229,11785,11629,156,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S3,53230,11785,11629,156,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S3,53231,11785,11569,216,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S3,53232,11785,11603,182,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S3,53233,11785,11589,196,5.0
TXPA LUT114 @ 81GHz tests 53227-53234,S3,53234,11785,11574,211,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S1,55203,12243,11599,644,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S1,55204,12243,11583,660,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S1,55205,12243,11570,673,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S1,55206,12243,11592,651,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S1,55207,12243,11520,723,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S1,55208,12243,11587,656,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S1,55209,12243,11491,752,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S1,55210,12243,11470,773,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S2,55203,12028,11981,47,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S2,55204,12028,11991,37,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S2,55205,12028,11991,37,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S2,55206,12028,11990,38,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S2,55207,12028,11986,42,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S2,55208,12028,11986,42,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S2,55209,12028,11982,46,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S2,55210,12028,11984,44,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S3,55203,11785,11693,92,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S3,55204,11785,11693,92,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S3,55205,11785,11697,88,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S3,55206,11785,11704,81,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S3,55207,11785,11694,91,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S3,55208,11785,11697,88,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S3,55209,11785,11690,95,5.0
TXPA LUT130 @ 76GHz tests 55203-55210,S3,55210,11785,11692,93,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S1,54203,12243,11448,795,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S1,54204,12243,11466,777,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S1,54205,12243,11413,830,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S1,54206,12243,11433,810,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S1,54207,12243,11333,910,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S1,54208,12243,11443,800,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S1,54209,12243,11330,913,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S1,54210,12243,11330,913,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S2,54203,12028,11984,44,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S2,54204,12028,11991,37,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S2,54205,12028,11995,33,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S2,54206,12028,11987,41,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S2,54207,12028,11987,41,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S2,54208,12028,11985,43,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S2,54209,12028,11984,44,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S2,54210,12028,11981,47,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S3,54203,11785,11683,102,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S3,54204,11785,11691,94,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S3,54205,11785,11691,94,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S3,54206,11785,11694,91,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S3,54207,11785,11683,102,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S3,54208,11785,11688,97,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S3,54209,11785,11679,106,5.0
TXPA LUT130 @ 77GHz tests 54203-54210,S3,54210,11785,11680,105,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S1,53235,12243,10598,1645,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S1,53236,12243,10640,1603,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S1,53237,12243,10604,1639,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S1,53238,12243,10633,1610,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S1,53239,12243,10588,1655,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S1,53240,12243,10654,1589,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S1,53241,12243,10573,1670,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S1,53242,12243,10581,1662,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S2,53235,12028,11985,43,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S2,53236,12028,11971,57,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S2,53237,12028,11972,56,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S2,53238,12028,11977,51,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S2,53239,12028,11966,62,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S2,53240,12028,11967,61,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S2,53241,12028,11966,62,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S2,53242,12028,11958,70,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S3,53235,11785,11596,189,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S3,53236,11785,11561,224,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S3,53237,11785,11583,202,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S3,53238,11785,11592,193,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S3,53239,11785,11511,274,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S3,53240,11785,11556,229,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S3,53241,11785,11536,249,5.0
TXPA LUT130 @ 81GHz tests 53235-53242,S3,53242,11785,11523,262,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S1,55211,12243,11473,770,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S1,55212,12243,11493,750,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S1,55213,12243,11483,760,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S1,55214,12243,11505,738,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S1,55215,12243,11406,837,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S1,55216,12243,11495,748,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S1,55217,12243,11396,847,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S1,55218,12243,11392,851,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S2,55211,12028,11980,48,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S2,55212,12028,11988,40,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S2,55213,12028,11985,43,5.0
