group,kind,insertion_type,insertion,temp_c,test_number,test_name,freq_ghz,lut,lo_idac,pa_channel,corr_median,corr_mean,n,mad_multiplier
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S1,135,55154,TXPC_76FwLu12Tx8__D095,76,12.0,,TX8,-18.8795615512744,-18.509678176521273,12152,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S2,-40,55147,TXPC_76FwLu12Tx1__D095,76,12.0,,TX1,-18.112041051274403,-18.23209191084462,12006,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S2,-40,55148,TXPC_76FwLu12Tx2__D095,76,12.0,,TX2,-18.015911051274404,-18.127909904634382,12009,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S2,-40,55149,TXPC_76FwLu12Tx3__D095,76,12.0,,TX3,-18.004061051274405,-18.121924535870573,12010,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S2,-40,55150,TXPC_76FwLu12Tx4__D095,76,12.0,,TX4,-17.933701051274404,-18.047449615684428,12009,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S2,-40,55151,TXPC_76FwLu12Tx5__D095,76,12.0,,TX5,-17.962861051274402,-18.094875910986335,12011,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S2,-40,55152,TXPC_76FwLu12Tx6__D095,76,12.0,,TX6,-18.015911051274404,-18.141544833619026,12019,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S2,-40,55153,TXPC_76FwLu12Tx7__D095,76,12.0,,TX7,-18.015911051274404,-18.133680283067996,12015,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S2,-40,55154,TXPC_76FwLu12Tx8__D095,76,12.0,,TX8,-18.093841051274403,-18.22167876881958,12009,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S3,25,55147,TXPC_76FwLu12Tx1__D095,76,12.0,,TX1,-18.264786101274403,-18.328604081749784,11780,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S3,25,55148,TXPC_76FwLu12Tx2__D095,76,12.0,,TX2,-18.1287361012744,-18.22633691465528,11778,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S3,25,55149,TXPC_76FwLu12Tx3__D095,76,12.0,,TX3,-18.0964161012744,-18.194009332474536,11782,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S3,25,55150,TXPC_76FwLu12Tx4__D095,76,12.0,,TX4,-18.0325261012744,-18.132413203141972,11780,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S3,25,55151,TXPC_76FwLu12Tx5__D095,76,12.0,,TX5,-18.1044761012744,-18.19485656654864,11778,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S3,25,55152,TXPC_76FwLu12Tx6__D095,76,12.0,,TX6,-18.1327961012744,-18.20983236729596,11781,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S3,25,55153,TXPC_76FwLu12Tx7__D095,76,12.0,,TX7,-18.157226101274404,-18.23240268301538,11775,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S3,25,55154,TXPC_76FwLu12Tx8__D095,76,12.0,,TX8,-18.285786101274404,-18.355272345752827,11772,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S1,135,54147,TXPB_77FwLu12Tx1__D095,77,12.0,,TX1,-18.6709347086727,-18.42660384851913,12242,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S1,135,54148,TXPB_77FwLu12Tx2__D095,77,12.0,,TX2,-18.4650447086727,-18.30885279982683,12243,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S1,135,54149,TXPB_77FwLu12Tx3__D095,77,12.0,,TX3,-18.5303647086727,-18.35293410669606,12243,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S1,135,54150,TXPB_77FwLu12Tx4__D095,77,12.0,,TX4,-18.3720647086727,-18.25229400132973,12243,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S1,135,54151,TXPB_77FwLu12Tx5__D095,77,12.0,,TX5,-18.443444708672697,-18.296758506254793,12242,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S1,135,54152,TXPB_77FwLu12Tx6__D095,77,12.0,,TX6,-18.515784708672697,-18.34917178431393,12242,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S1,135,54153,TXPB_77FwLu12Tx7__D095,77,12.0,,TX7,-18.5817247086727,-18.388673142063208,12243,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S1,135,54154,TXPB_77FwLu12Tx8__D095,77,12.0,,TX8,-18.784554708672697,-18.525938158076002,12234,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S2,-40,54147,TXPB_77FwLu12Tx1__D095,77,12.0,,TX1,-18.4219219586727,-18.545843552175405,12005,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S2,-40,54148,TXPB_77FwLu12Tx2__D095,77,12.0,,TX2,-18.3289519586727,-18.44479931144238,12005,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S2,-40,54149,TXPB_77FwLu12Tx3__D095,77,12.0,,TX3,-18.3635619586727,-18.47813984657143,12007,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S2,-40,54150,TXPB_77FwLu12Tx4__D095,77,12.0,,TX4,-18.2185619586727,-18.346591103195816,12005,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S2,-40,54151,TXPB_77FwLu12Tx5__D095,77,12.0,,TX5,-18.260651958672703,-18.3951250613457,12009,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S2,-40,54152,TXPB_77FwLu12Tx6__D095,77,12.0,,TX6,-18.308911958672702,-18.429724687005063,12011,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S2,-40,54153,TXPB_77FwLu12Tx7__D095,77,12.0,,TX7,-18.3289519586727,-18.450257544288284,12013,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S2,-40,54154,TXPB_77FwLu12Tx8__D095,77,12.0,,TX8,-18.4633119586727,-18.582485513025055,12005,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S3,25,54147,TXPB_77FwLu12Tx1__D095,77,12.0,,TX1,-18.347516058672703,-18.42564203591841,11778,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S3,25,54148,TXPB_77FwLu12Tx2__D095,77,12.0,,TX2,-18.177656058672703,-18.281161361432787,11775,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S3,25,54149,TXPB_77FwLu12Tx3__D095,77,12.0,,TX3,-18.2087360586727,-18.30729898082229,11779,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S3,25,54150,TXPB_77FwLu12Tx4__D095,77,12.0,,TX4,-18.0933660586727,-18.190851444986166,11778,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S3,25,54151,TXPB_77FwLu12Tx5__D095,77,12.0,,TX5,-18.1699260586727,-18.25836814016676,11780,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S3,25,54152,TXPB_77FwLu12Tx6__D095,77,12.0,,TX6,-18.1970560586727,-18.292112490820706,11783,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S3,25,54153,TXPB_77FwLu12Tx7__D095,77,12.0,,TX7,-18.2321960586727,-18.32786109178528,11778,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,TXPA,FE,S3,25,54154,TXPB_77FwLu12Tx8__D095,77,12.0,,TX8,-18.408446058672702,-18.482095359003853,11777,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,TXPA,FE,S1,135,53179,TXPA_81FwLu12Tx1__D095,81,12.0,,TX1,-19.509124775665796,-19.59154143253095,12243,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,TXPA,FE,S1,135,53180,TXPA_81FwLu12Tx2__D095,81,12.0,,TX2,-19.402184775665802,-19.50729048995151,12243,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,TXPA,FE,S1,135,53181,TXPA_81FwLu12Tx3__D095,81,12.0,,TX3,-19.3436847756658,-19.45484753561026,12243,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,TXPA,FE,S1,135,53182,TXPA_81FwLu12Tx4__D095,81,12.0,,TX4,-19.3088947756658,-19.40103488104074,12242,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,TXPA,FE,S1,135,53183,TXPA_81FwLu12Tx5__D095,81,12.0,,TX5,-19.320464775665798,-19.422324468526444,12242,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,TXPA,FE,S1,135,53184,TXPA_81FwLu12Tx6__D095,81,12.0,,TX6,-19.4613247756658,-19.548695217587056,12242,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,TXPA,FE,S1,135,53185,TXPA_81FwLu12Tx7__D095,81,12.0,,TX7,-19.443514775665797,-19.5203938535062,12243,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,TXPA,FE,S1,135,53186,TXPA_81FwLu12Tx8__D095,81,12.0,,TX8,-19.6428047756658,-19.691587570960685,12242,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,TXPA,FE,S2,-40,53179,TXPA_81FwLu12Tx1__D095,81,12.0,,TX1,-19.419955225665802,-19.543599460920717,12004,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,TXPA,FE,S2,-40,53180,TXPA_81FwLu12Tx2__D095,81,12.0,,TX2,-19.3105552256658,-19.39647786841337,11734,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,TXPA,FE,S2,-40,53181,TXPA_81FwLu12Tx3__D095,81,12.0,,TX3,-19.2418152256658,-19.331042752363793,11705,5.0
